Node_x Node_y             X                    Y                    Z
  6  15      8.2240057579E+01     2.0945730191E+02    -5.8712311648E+02
  6  16      8.2240057579E+01     2.2445730191E+02    -5.8710565769E+02
  6  17      8.2240057579E+01     2.3945730191E+02    -5.8710185729E+02
  6  18      8.2240057579E+01     2.5445730191E+02    -5.8709752612E+02
  6  19      8.2240057579E+01     2.6945730191E+02    -5.8711056748E+02
  6  20      8.2240057579E+01     2.8445730191E+02    -5.8711107399E+02
  6  21      8.2240057579E+01     2.9945730191E+02    -5.8711334088E+02
  6  22      8.2240057579E+01     3.1445730191E+02    -5.8711827780E+02
  6  23      8.2240057579E+01     3.2945730191E+02    -5.8712308639E+02
  6  24      8.2240057579E+01     3.4445730191E+02    -5.8712104667E+02
  6  25      8.2240057579E+01     3.5945730191E+02    -5.8712746736E+02
  7   1      9.7240057579E+01    -5.4269808751E-01    -5.8711529739E+02
  7   2      9.7240057579E+01     1.4457301912E+01    -5.8710322269E+02
  7   3      9.7240057579E+01     2.9457301912E+01    -5.8711092372E+02
  7   4      9.7240057579E+01     4.4457301912E+01    -5.8710572517E+02
  7   5      9.7240057579E+01     5.9457301912E+01    -5.8709936913E+02
  7   6      9.7240057579E+01     7.4457301912E+01    -5.8709314134E+02
  7   7      9.7240057579E+01     8.9457301912E+01    -5.8708896918E+02
  7   8      9.7240057579E+01     1.0445730191E+02    -5.8710954853E+02
  7   9      9.7240057579E+01     1.1945730191E+02    -5.8711347681E+02
  7  10      9.7240057579E+01     1.3445730191E+02    -5.8711914577E+02
  7  11      9.7240057579E+01     1.4945730191E+02    -5.8712353516E+02
  7  12      9.7240057579E+01     1.6445730191E+02    -5.8712214286E+02
  7  13      9.7240057579E+01     1.7945730191E+02    -5.8712782260E+02
  7  14      9.7240057579E+01     1.9445730191E+02    -5.8711078940E+02
  7  15      9.7240057579E+01     2.0945730191E+02    -5.8712383605E+02
  7  16      9.7240057579E+01     2.2445730191E+02    -5.8710685830E+02
  7  17      9.7240057579E+01     2.3945730191E+02    -5.8710345556E+02
  7  18      9.7240057579E+01     2.5445730191E+02    -5.8710005604E+02
  7  19      9.7240057579E+01     2.6945730191E+02    -5.8710877157E+02
  7  20      9.7240057579E+01     2.8445730191E+02    -5.8710913595E+02
  7  21      9.7240057579E+01     2.9945730191E+02    -5.8711207919E+02
  7  22      9.7240057579E+01     3.1445730191E+02    -5.8711315688E+02
  7  23      9.7240057579E+01     3.2945730191E+02    -5.8712313051E+02
  7  24      9.7240057579E+01     3.4445730191E+02    -5.8712216050E+02
  7  25      9.7240057579E+01     3.5945730191E+02    -5.8712781761E+02
  8   1      1.1224005758E+02    -5.4269808751E-01    -5.8711475064E+02
  8   2      1.1224005758E+02     1.4457301912E+01    -5.8710416808E+02
  8   3      1.1224005758E+02     2.9457301912E+01    -5.8711037607E+02
  8   4      1.1224005758E+02     4.4457301912E+01    -5.8710517505E+02
  8   5      1.1224005758E+02     5.9457301912E+01    -5.8709881721E+02
  8   6      1.1224005758E+02     7.4457301912E+01    -5.8709258473E+02
  8   7      1.1224005758E+02     8.9457301912E+01    -5.8708839824E+02
  8   8      1.1224005758E+02     1.0445730191E+02    -5.8710793000E+02
  8   9      1.1224005758E+02     1.1945730191E+02    -5.8711147519E+02
  8  10      1.1224005758E+02     1.3445730191E+02    -5.8711317634E+02
  8  11      1.1224005758E+02     1.4945730191E+02    -5.8712105112E+02
  8  12      1.1224005758E+02     1.6445730191E+02    -5.8712217636E+02
  8  13      1.1224005758E+02     1.7945730191E+02    -5.8712617544E+02
  8  14      1.1224005758E+02     1.9445730191E+02    -5.8711297841E+02
  8  15      1.1224005758E+02     2.0945730191E+02    -5.8712232117E+02
  8  16      1.1224005758E+02     2.2445730191E+02    -5.8710873876E+02
  8  17      1.1224005758E+02     2.3945730191E+02    -5.8710584008E+02
  8  18      1.1224005758E+02     2.5445730191E+02    -5.8710307610E+02
  8  19      1.1224005758E+02     2.6945730191E+02    -5.8710702935E+02
  8  20      1.1224005758E+02     2.8445730191E+02    -5.8710737048E+02
  8  21      1.1224005758E+02     2.9945730191E+02    -5.8711039672E+02
  8  22      1.1224005758E+02     3.1445730191E+02    -5.8711233977E+02
  8  23      1.1224005758E+02     3.2945730191E+02    -5.8712061725E+02
  8  24      1.1224005758E+02     3.4445730191E+02    -5.8712219296E+02
  8  25      1.1224005758E+02     3.5945730191E+02    -5.8712616384E+02
